S_droplet_delta
  phi    l |        S_delta        S_theta          S_180  err_S_dt err_S_dpi | min_delta min_theta   min_180err_min_dterr_min_dpi | max_delta max_theta   max_180err_max_dterr_min_dpi
–––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––
  0.0  0.1 |            inf            inf            inf       nan       nan |     7.854     7.854     7.854     0.000     0.000 |    -1.146    -1.146    -1.146     0.000     0.000
  0.0  0.6 |            inf            inf            inf       nan       nan |     1.309     1.309     1.309     0.000     0.000 |     0.642     0.642     0.642     0.000     0.000
  0.0  1.1 |            inf            inf            inf       nan       nan |     0.714     0.714     0.714     0.000     0.000 |     0.805     0.805     0.805     0.000     0.000
  0.0  1.6 |            inf            inf            inf       nan       nan |     0.491     0.491     0.491     0.000     0.000 |     0.866     0.866     0.866     0.000     0.000
  0.0  2.1 |            inf            inf            inf       nan       nan |     0.374     0.374     0.374     0.000     0.000 |     0.898     0.898     0.898     0.000     0.000
  0.0  2.6 |            inf            inf            inf       nan       nan |     0.302     0.302     0.302     0.000     0.000 |     0.917     0.917     0.917     0.000     0.000
  0.0  3.1 |            inf            inf            inf       nan       nan |     0.253     0.253     0.253     0.000     0.000 |     0.931     0.931     0.931     0.000     0.000
  0.0  3.6 |            inf            inf            inf       nan       nan |     0.218     0.218     0.218     0.000     0.000 |     0.940     0.940     0.940     0.000     0.000
  0.0  4.1 |            inf            inf            inf       nan       nan |     0.192     0.192     0.192     0.000     0.000 |     0.948     0.948     0.948     0.000     0.000
  0.0  4.6 |            inf            inf            inf       nan       nan |     0.171     0.171     0.171     0.000     0.000 |     0.953     0.953     0.953     0.000     0.000
  0.2  0.1 |            inf            inf            inf       nan       nan |     7.854     7.854     7.854     0.000     0.000 |    -1.146    -1.146    -1.146     0.000     0.000
  0.2  0.6 |            inf            inf            inf       nan       nan |     1.309     1.309     1.309     0.000     0.000 |     0.642     0.642     0.642     0.000     0.000
  0.2  1.1 |            inf            inf            inf       nan       nan |     0.714     0.714     0.714     0.000     0.000 |     0.805     0.805     0.805     0.000     0.000
  0.2  1.6 |            inf            inf            inf       nan       nan |     0.491     0.491     0.491     0.000     0.000 |     0.866     0.866     0.866     0.000     0.000
  0.2  2.1 |            inf            inf            inf       nan       nan |     0.374     0.374     0.374     0.000     0.000 |     0.898     0.898     0.898     0.000     0.000
  0.2  2.6 |            inf            inf            inf       nan       nan |     0.302     0.302     0.302     0.000     0.000 |     0.917     0.917     0.917     0.000     0.000
  0.2  3.1 |            inf            inf            inf       nan       nan |     0.253     0.253     0.253     0.000     0.000 |     0.931     0.931     0.931     0.000     0.000
  0.2  3.6 |            inf            inf            inf       nan       nan |     0.218     0.218     0.218     0.000     0.000 |     0.940     0.940     0.940     0.000     0.000
  0.2  4.1 |       13.16426       13.16426       13.16426     0.000     0.000 |     0.192     0.192     0.192     0.000     0.000 |     0.948     0.948     0.948     0.000     0.000
  0.2  4.6 |       15.68966       15.68966       15.68966     0.000     0.000 |     0.171     0.171     0.171     0.000     0.000 |     0.953     0.953     0.953     0.000     0.000
  0.4  0.1 |            inf            inf            inf       nan       nan |     7.854     7.854     7.854     0.000     0.000 |    -1.146    -1.146    -1.146     0.000     0.000
  0.4  0.6 |            inf            inf            inf       nan       nan |     1.309     1.309     1.309     0.000     0.000 |     0.642     0.642     0.642     0.000     0.000
  0.4  1.1 |            inf            inf            inf       nan       nan |     0.714     0.714     0.714     0.000     0.000 |     0.805     0.805     0.805     0.000     0.000
  0.4  1.6 |            inf            inf            inf       nan       nan |     0.491     0.491     0.491     0.000     0.000 |     0.866     0.866     0.866     0.000     0.000
  0.4  2.1 |        6.82667        6.82667        6.82667     0.000     0.000 |     0.374     0.374     0.374     0.000     0.000 |     0.898     0.898     0.898     0.000     0.000
  0.4  2.6 |        9.49207        9.49207        9.49207     0.000     0.000 |     0.302     0.302     0.302     0.000     0.000 |     0.917     0.917     0.917     0.000     0.000
  0.4  3.1 |       12.55747       12.55747       12.55747     0.000     0.000 |     0.253     0.253     0.253     0.000     0.000 |     0.931     0.931     0.931     0.000     0.000
  0.4  3.6 |       16.02287       16.02287       16.02287     0.000     0.000 |     0.218     0.218     0.218     0.000     0.000 |     0.940     0.940     0.940     0.000     0.000
  0.4  4.1 |       19.88826       19.88826       19.88826     0.000     0.000 |     0.192     0.192     0.192     0.000     0.000 |     0.948     0.948     0.948     0.000     0.000
  0.4  4.6 |       24.15366       24.15366       24.15366     0.000     0.000 |     0.171     0.171     0.171     0.000     0.000 |     0.953     0.953     0.953     0.000     0.000
  0.6  0.1 |            inf            inf            inf       nan       nan |     7.854     7.854     7.854     0.000     0.000 |    -1.146    -1.146    -1.146     0.000     0.000
  0.6  0.6 |            inf            inf            inf       nan       nan |     1.309     1.309     1.309     0.000     0.000 |     0.642     0.642     0.642     0.000     0.000
  0.6  1.1 |            inf            inf            inf       nan       nan |     0.714     0.714     0.714     0.000     0.000 |     0.805     0.805     0.805     0.000     0.000
  0.6  1.6 |        5.58527        5.58527        5.58527     0.000     0.000 |     0.491     0.491     0.491     0.000     0.000 |     0.866     0.866     0.866     0.000     0.000
  0.6  2.1 |        8.59067        8.59067        8.59067     0.000     0.000 |     0.374     0.374     0.374     0.000     0.000 |     0.898     0.898     0.898     0.000     0.000
  0.6  2.6 |       12.19607       12.19607       12.19607     0.000     0.000 |     0.302     0.302     0.302     0.000     0.000 |     0.917     0.917     0.917     0.000     0.000
  0.6  3.1 |       16.40147       16.40147       16.40147     0.000     0.000 |     0.253     0.253     0.253     0.000     0.000 |     0.931     0.931     0.931     0.000     0.000
  0.6  3.6 |       21.20687       21.20687       21.20687     0.000     0.000 |     0.218     0.218     0.218     0.000     0.000 |     0.940     0.940     0.940     0.000     0.000
  0.6  4.1 |       26.61226       26.61226       26.61226     0.000     0.000 |     0.192     0.192     0.192     0.000     0.000 |     0.948     0.948     0.948     0.000     0.000
  0.6  4.6 |       32.61766       32.61766       32.61766     0.000     0.000 |     0.171     0.171     0.171     0.000     0.000 |     0.953     0.953     0.953     0.000     0.000
  0.8  0.1 |            inf            inf            inf       nan       nan |     7.854     7.854     7.854     0.000     0.000 |    -1.146    -1.146    -1.146     0.000     0.000
  0.8  0.6 |            inf            inf            inf       nan       nan |     1.309     1.309     1.309     0.000     0.000 |     0.642     0.642     0.642     0.000     0.000
  0.8  1.1 |        3.66388        3.66388        3.66388     0.000     0.000 |     0.714     0.714     0.714     0.000     0.000 |     0.805     0.805     0.805     0.000     0.000
  0.8  1.6 |        6.60927        6.60927        6.60927     0.000     0.000 |     0.491     0.491     0.491     0.000     0.000 |     0.866     0.866     0.866     0.000     0.000
  0.8  2.1 |       10.35467       10.35467       10.35467     0.000     0.000 |     0.374     0.374     0.374     0.000     0.000 |     0.898     0.898     0.898     0.000     0.000
  0.8  2.6 |       14.90007       14.90007       14.90007     0.000     0.000 |     0.302     0.302     0.302     0.000     0.000 |     0.917     0.917     0.917     0.000     0.000
  0.8  3.1 |       20.24547       20.24547       20.24547     0.000     0.000 |     0.253     0.253     0.253     0.000     0.000 |     0.931     0.931     0.931     0.000     0.000
  0.8  3.6 |       26.39087       26.39087       26.39087     0.000     0.000 |     0.218     0.218     0.218     0.000     0.000 |     0.940     0.940     0.940     0.000     0.000
  0.8  4.1 |       33.33626       33.33626       33.33626     0.000     0.000 |     0.192     0.192     0.192     0.000     0.000 |     0.948     0.948     0.948     0.000     0.000
  0.8  4.6 |       41.08166       41.08166       41.08166     0.000     0.000 |     0.171     0.171     0.171     0.000     0.000 |     0.953     0.953     0.953     0.000     0.000
  1.0  0.1 |            inf            inf            inf       nan       nan |     7.854     7.854     7.854     0.000     0.000 |    -1.146    -1.146    -1.146     0.000     0.000
  1.0  0.6 |            inf            inf            inf       nan       nan |     1.309     1.309     1.309     0.000     0.000 |     0.642     0.642     0.642     0.000     0.000
  1.0  1.1 |            inf            inf            inf       nan       nan |     0.714     0.714     0.714     0.000     0.000 |     0.805     0.805     0.805     0.000     0.000
  1.0  1.6 |            inf            inf            inf       nan       nan |     0.491     0.491     0.491     0.000     0.000 |     0.866     0.866     0.866     0.000     0.000
  1.0  2.1 |            inf            inf            inf       nan       nan |     0.374     0.374     0.374     0.000     0.000 |     0.898     0.898     0.898     0.000     0.000
  1.0  2.6 |            inf            inf            inf       nan       nan |     0.302     0.302     0.302     0.000     0.000 |     0.917     0.917     0.917     0.000     0.000
  1.0  3.1 |            inf            inf            inf       nan       nan |     0.253     0.253     0.253     0.000     0.000 |     0.931     0.931     0.931     0.000     0.000
  1.0  3.6 |            inf            inf            inf       nan       nan |     0.218     0.218     0.218     0.000     0.000 |     0.940     0.940     0.940     0.000     0.000
  1.0  4.1 |            inf            inf            inf       nan       nan |     0.192     0.192     0.192     0.000     0.000 |     0.948     0.948     0.948     0.000     0.000
  1.0  4.6 |            inf            inf            inf       nan       nan |     0.171     0.171     0.171     0.000     0.000 |     0.953     0.953     0.953     0.000     0.000

S_perforation_delta
  phi    l |        S_delta        S_theta          S_180  err_S_dt err_S_dpi | min_delta min_theta   min_180err_min_dterr_min_dpi | max_delta max_theta   max_180err_max_dterr_min_dpi
–––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––
  0.0  0.1 |            inf            inf            inf       nan       nan |   -39.808   -39.808   -39.808     0.000     0.000 |    -6.530    -6.530    -6.530     0.000     0.000
  0.0  0.6 |            inf            inf            inf       nan       nan |     0.816     0.816     0.816     0.000     0.000 |     0.791     0.791     0.791     0.000     0.000
  0.0  1.1 |            inf            inf            inf       nan       nan |     0.903     0.903     0.903     0.000     0.000 |     0.938     0.938     0.938     0.000     0.000
  0.0  1.6 |            inf            inf            inf       nan       nan |     0.781     0.781     0.781     0.000     0.000 |     0.971     0.971     0.971     0.000     0.000
  0.0  2.1 |            inf            inf            inf       nan       nan |     0.683     0.683     0.683     0.000     0.000 |     0.983     0.983     0.983     0.000     0.000
  0.0  2.6 |            inf            inf            inf       nan       nan |     0.612     0.612     0.612     0.000     0.000 |     0.989     0.989     0.989     0.000     0.000
  0.0  3.1 |            inf            inf            inf       nan       nan |     0.558     0.558     0.558     0.000     0.000 |     0.992     0.992     0.992     0.000     0.000
  0.0  3.6 |            inf            inf            inf       nan       nan |     0.517     0.517     0.517     0.000     0.000 |     0.994     0.994     0.994     0.000     0.000
  0.0  4.1 |            inf            inf            inf       nan       nan |     0.484     0.484     0.484     0.000     0.000 |     0.996     0.996     0.996     0.000     0.000
  0.0  4.6 |            inf            inf            inf       nan       nan |     0.458     0.458     0.458     0.000     0.000 |     0.996     0.996     0.996     0.000     0.000
  0.2  0.1 |            inf            inf            inf       nan       nan |   -39.808   -39.808   -39.808     0.000     0.000 |    -6.530    -6.530    -6.530     0.000     0.000
  0.2  0.6 |            inf            inf            inf       nan       nan |     0.816     0.816     0.816     0.000     0.000 |     0.791     0.791     0.791     0.000     0.000
  0.2  1.1 |            inf            inf            inf       nan       nan |     0.903     0.903     0.903     0.000     0.000 |     0.938     0.938     0.938     0.000     0.000
  0.2  1.6 |            inf            inf            inf       nan       nan |     0.781     0.781     0.781     0.000     0.000 |     0.971     0.971     0.971     0.000     0.000
  0.2  2.1 |            inf            inf            inf       nan       nan |     0.683     0.683     0.683     0.000     0.000 |     0.983     0.983     0.983     0.000     0.000
  0.2  2.6 |            inf            inf            inf       nan       nan |     0.612     0.612     0.612     0.000     0.000 |     0.989     0.989     0.989     0.000     0.000
  0.2  3.1 |            inf            inf            inf       nan       nan |     0.558     0.558     0.558     0.000     0.000 |     0.992     0.992     0.992     0.000     0.000
  0.2  3.6 |            inf            inf            inf       nan       nan |     0.517     0.517     0.517     0.000     0.000 |     0.994     0.994     0.994     0.000     0.000
  0.2  4.1 |            inf            inf            inf       nan       nan |     0.484     0.484     0.484     0.000     0.000 |     0.996     0.996     0.996     0.000     0.000
  0.2  4.6 |            inf            inf            inf       nan       nan |     0.458     0.458     0.458     0.000     0.000 |     0.996     0.996     0.996     0.000     0.000
  0.4  0.1 |            inf            inf            inf       nan       nan |   -39.808   -39.808   -39.808     0.000     0.000 |    -6.530    -6.530    -6.530     0.000     0.000
  0.4  0.6 |            inf            inf            inf       nan       nan |     0.816     0.816     0.816     0.000     0.000 |     0.791     0.791     0.791     0.000     0.000
  0.4  1.1 |            inf            inf            inf       nan       nan |     0.903     0.903     0.903     0.000     0.000 |     0.938     0.938     0.938     0.000     0.000
  0.4  1.6 |            inf            inf            inf       nan       nan |     0.781     0.781     0.781     0.000     0.000 |     0.971     0.971     0.971     0.000     0.000
  0.4  2.1 |            inf            inf            inf       nan       nan |     0.683     0.683     0.683     0.000     0.000 |     0.983     0.983     0.983     0.000     0.000
  0.4  2.6 |            inf            inf            inf       nan       nan |     0.612     0.612     0.612     0.000     0.000 |     0.989     0.989     0.989     0.000     0.000
  0.4  3.1 |            inf            inf            inf       nan       nan |     0.558     0.558     0.558     0.000     0.000 |     0.992     0.992     0.992     0.000     0.000
  0.4  3.6 |            inf            inf            inf       nan       nan |     0.517     0.517     0.517     0.000     0.000 |     0.994     0.994     0.994     0.000     0.000
  0.4  4.1 |            inf            inf            inf       nan       nan |     0.484     0.484     0.484     0.000     0.000 |     0.996     0.996     0.996     0.000     0.000
  0.4  4.6 |            inf            inf            inf       nan       nan |     0.458     0.458     0.458     0.000     0.000 |     0.996     0.996     0.996     0.000     0.000
  0.6  0.1 |            inf            inf            inf       nan       nan |   -39.808   -39.808   -39.808     0.000     0.000 |    -6.530    -6.530    -6.530     0.000     0.000
  0.6  0.6 |            inf            inf            inf       nan       nan |     0.816     0.816     0.816     0.000     0.000 |     0.791     0.791     0.791     0.000     0.000
  0.6  1.1 |            inf            inf            inf       nan       nan |     0.903     0.903     0.903     0.000     0.000 |     0.938     0.938     0.938     0.000     0.000
  0.6  1.6 |            inf            inf            inf       nan       nan |     0.781     0.781     0.781     0.000     0.000 |     0.971     0.971     0.971     0.000     0.000
  0.6  2.1 |            inf            inf            inf       nan       nan |     0.683     0.683     0.683     0.000     0.000 |     0.983     0.983     0.983     0.000     0.000
  0.6  2.6 |            inf            inf            inf       nan       nan |     0.612     0.612     0.612     0.000     0.000 |     0.989     0.989     0.989     0.000     0.000
  0.6  3.1 |       16.80631       16.80631       16.80631     0.000     0.000 |     0.558     0.558     0.558     0.000     0.000 |     0.992     0.992     0.992     0.000     0.000
  0.6  3.6 |       21.71063       21.71063       21.71063     0.000     0.000 |     0.517     0.517     0.517     0.000     0.000 |     0.994     0.994     0.994     0.000     0.000
  0.6  4.1 |       27.21399       27.21399       27.21399     0.000     0.000 |     0.484     0.484     0.484     0.000     0.000 |     0.996     0.996     0.996     0.000     0.000
  0.6  4.6 |       33.31671       33.31671       33.31671     0.000     0.000 |     0.458     0.458     0.458     0.000     0.000 |     0.996     0.996     0.996     0.000     0.000
  0.8  0.1 |            inf            inf            inf       nan       nan |   -39.808   -39.808   -39.808     0.000     0.000 |    -6.530    -6.530    -6.530     0.000     0.000
  0.8  0.6 |            inf            inf            inf       nan       nan |     0.816     0.816     0.816     0.000     0.000 |     0.791     0.791     0.791     0.000     0.000
  0.8  1.1 |            inf            inf            inf       nan       nan |     0.903     0.903     0.903     0.000     0.000 |     0.938     0.938     0.938     0.000     0.000
  0.8  1.6 |        5.85405        5.85405        5.85405     0.000     0.000 |     0.781     0.781     0.781     0.000     0.000 |     0.971     0.971     0.971     0.000     0.000
  0.8  2.1 |        9.45559        9.45559        9.45559     0.000     0.000 |     0.683     0.683     0.683     0.000     0.000 |     0.983     0.983     0.983     0.000     0.000
  0.8  2.6 |       13.84961       13.84961       13.84961     0.000     0.000 |     0.612     0.612     0.612     0.000     0.000 |     0.989     0.989     0.989     0.000     0.000
  0.8  3.1 |       19.03987       19.03987       19.03987     0.000     0.000 |     0.558     0.558     0.558     0.000     0.000 |     0.992     0.992     0.992     0.000     0.000
  0.8  3.6 |       25.02796       25.02796       25.02796     0.000     0.000 |     0.517     0.517     0.517     0.000     0.000 |     0.994     0.994     0.994     0.000     0.000
  0.8  4.1 |       31.81468       31.81468       31.81468     0.000     0.000 |     0.484     0.484     0.484     0.000     0.000 |     0.996     0.996     0.996     0.000     0.000
  0.8  4.6 |       39.40049       39.40049       39.40049     0.000     0.000 |     0.458     0.458     0.458     0.000     0.000 |     0.996     0.996     0.996     0.000     0.000
  1.0  0.1 |            inf            inf            inf       nan       nan |   -39.808   -39.808   -39.808     0.000     0.000 |    -6.530    -6.530    -6.530     0.000     0.000
  1.0  0.6 |            inf            inf            inf       nan       nan |     0.816     0.816     0.816     0.000     0.000 |     0.791     0.791     0.791     0.000     0.000
  1.0  1.1 |            inf            inf            inf       nan       nan |     0.903     0.903     0.903     0.000     0.000 |     0.938     0.938     0.938     0.000     0.000
  1.0  1.6 |            inf            inf            inf       nan       nan |     0.781     0.781     0.781     0.000     0.000 |     0.971     0.971     0.971     0.000     0.000
  1.0  2.1 |            inf            inf            inf       nan       nan |     0.683     0.683     0.683     0.000     0.000 |     0.983     0.983     0.983     0.000     0.000
  1.0  2.6 |            inf            inf            inf       nan       nan |     0.612     0.612     0.612     0.000     0.000 |     0.989     0.989     0.989     0.000     0.000
  1.0  3.1 |            inf            inf            inf       nan       nan |     0.558     0.558     0.558     0.000     0.000 |     0.992     0.992     0.992     0.000     0.000
  1.0  3.6 |            inf            inf            inf       nan       nan |     0.517     0.517     0.517     0.000     0.000 |     0.994     0.994     0.994     0.000     0.000
  1.0  4.1 |            inf            inf            inf       nan       nan |     0.484     0.484     0.484     0.000     0.000 |     0.996     0.996     0.996     0.000     0.000
  1.0  4.6 |            inf            inf            inf       nan       nan |     0.458     0.458     0.458     0.000     0.000 |     0.996     0.996     0.996     0.000     0.000

S_layer_delta
  phi    l |        S_delta        S_theta          S_180  err_S_dt err_S_dpi | min_delta min_theta   min_180err_min_dterr_min_dpi | max_delta max_theta   max_180err_max_dterr_min_dpi
–––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––
  0.0  0.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.0  0.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.0  1.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.0  1.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.0  2.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.0  2.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.0  3.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.0  3.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.0  4.1 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.0  4.6 |            inf            inf            inf       nan       nan |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.2  0.1 |        0.02000        0.02000        0.02000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.2  0.6 |        0.72000        0.72000        0.72000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.2  1.1 |        2.42000        2.42000        2.42000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.2  1.6 |        5.12000        5.12000        5.12000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.2  2.1 |        8.82000        8.82000        8.82000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.2  2.6 |       13.52000       13.52000       13.52000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.2  3.1 |       19.22000       19.22000       19.22000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.2  3.6 |       25.92000       25.92000       25.92000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.2  4.1 |       33.62000       33.62000       33.62000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.2  4.6 |       42.32000       42.32000       42.32000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.4  0.1 |        0.02000        0.02000        0.02000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.4  0.6 |        0.72000        0.72000        0.72000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.4  1.1 |        2.42000        2.42000        2.42000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.4  1.6 |        5.12000        5.12000        5.12000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.4  2.1 |        8.82000        8.82000        8.82000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.4  2.6 |       13.52000       13.52000       13.52000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.4  3.1 |       19.22000       19.22000       19.22000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.4  3.6 |       25.92000       25.92000       25.92000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.4  4.1 |       33.62000       33.62000       33.62000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.4  4.6 |       42.32000       42.32000       42.32000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.6  0.1 |        0.02000        0.02000        0.02000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.6  0.6 |        0.72000        0.72000        0.72000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.6  1.1 |        2.42000        2.42000        2.42000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.6  1.6 |        5.12000        5.12000        5.12000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.6  2.1 |        8.82000        8.82000        8.82000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.6  2.6 |       13.52000       13.52000       13.52000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.6  3.1 |       19.22000       19.22000       19.22000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.6  3.6 |       25.92000       25.92000       25.92000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.6  4.1 |       33.62000       33.62000       33.62000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.6  4.6 |       42.32000       42.32000       42.32000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.8  0.1 |        0.02000        0.02000        0.02000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.8  0.6 |        0.72000        0.72000        0.72000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.8  1.1 |        2.42000        2.42000        2.42000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.8  1.6 |        5.12000        5.12000        5.12000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.8  2.1 |        8.82000        8.82000        8.82000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.8  2.6 |       13.52000       13.52000       13.52000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.8  3.1 |       19.22000       19.22000       19.22000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.8  3.6 |       25.92000       25.92000       25.92000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.8  4.1 |       33.62000       33.62000       33.62000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  0.8  4.6 |       42.32000       42.32000       42.32000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  1.0  0.1 |        0.02000        0.02000        0.02000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  1.0  0.6 |        0.72000        0.72000        0.72000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  1.0  1.1 |        2.42000        2.42000        2.42000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  1.0  1.6 |        5.12000        5.12000        5.12000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  1.0  2.1 |        8.82000        8.82000        8.82000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  1.0  2.6 |       13.52000       13.52000       13.52000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  1.0  3.1 |       19.22000       19.22000       19.22000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  1.0  3.6 |       25.92000       25.92000       25.92000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  1.0  4.1 |       33.62000       33.62000       33.62000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000
  1.0  4.6 |       42.32000       42.32000       42.32000     0.000     0.000 |     0.000     0.000     0.000     0.000     0.000 |     1.000     1.000     1.000     0.000     0.000

